year_cons,not_open,open_cc0_or_cc_by,na,participants_records,research_grade
2018,28.2%,14.1%,57.8%,records,all
2019,46.7%,18.8%,34.5%,records,all
2020,47.4%,14.8%,37.8%,records,all
2021,57.1%,14.6%,28.3%,records,all
2022,48.3%,29.9%,21.8%,records,all
2023,29.6%,58.0%,12.4%,records,all
2024,18.8%,75.9%,5.3%,records,all
NA,28.6%,64.3%,7.1%,records,all
