year_cons,not_open,open_cc0_or_cc_by,na,total,perc_open,participants_records,research_grade
2018,2667,1333,5471,9471,14.1,participants,all
2019,7088,2852,5243,15183,18.8,participants,all
2020,4226,1315,3373,8914,14.8,participants,all
2021,4733,1209,2340,8282,14.6,participants,all
2022,3869,2392,1745,8006,29.9,participants,all
2023,2226,4353,931,7510,58,participants,all
2024,1098,4441,309,5848,75.9,participants,all
NA,8,18,2,28,64.3,participants,all
