year_cons,not_open,open_cc0_or_cc_by,na,total,perc_open,participants_records,research_grade
2018,2193,1014,4472,7679,13.2,participants,not_casual
2019,6341,1860,4697,12898,14.4,participants,not_casual
2020,3726,1218,3126,8070,15.1,participants,not_casual
2021,4733,1209,2340,8282,14.6,participants,not_casual
2022,3685,2240,1686,7611,29.4,participants,not_casual
2023,2150,4200,900,7250,57.9,participants,not_casual
2024,1063,4291,272,5626,76.3,participants,not_casual
NA,8,17,1,26,65.4,participants,not_casual
